vibration,temperature,gas,status,label,severity
233.1,23.204,1.1544,leak_event_sev1_h2_10%,1,1
178.8,22.934,1.4637,leak_event_sev1_h2_10%,1,1
242.3,22.912,1.3697,leak_event_sev1_h2_10%,1,1
179.0,23.156,1.137,leak_event_sev1_h2_10%,1,1
246.3,23.164,1.0742,leak_event_sev1_h2_10%,1,1
217.7,23.027,1.4528,leak_event_sev1_h2_10%,1,1
239.6,23.008,1.0484,leak_event_sev1_h2_10%,1,1
213.5,22.953,1.2493,leak_event_sev1_h2_10%,1,1
220.1,23.628,1.2078,leak_event_sev1_h2_10%,1,1
253.0,23.068,0.9769,leak_event_sev1_h2_10%,1,1
214.7,23.087,1.0775,leak_event_sev1_h2_10%,1,1
193.1,23.006,1.2781,leak_event_sev1_h2_10%,1,1
230.4,23.067,1.2134,leak_event_sev1_h2_10%,1,1
247.6,23.271,1.0948,leak_event_sev1_h2_10%,1,1
226.5,22.802,1.1404,leak_event_sev1_h2_10%,1,1
227.5,23.256,1.5147,leak_event_sev1_h2_10%,1,1
192.2,23.185,1.0854,leak_event_sev1_h2_10%,1,1
264.6,22.897,1.1616,leak_event_sev1_h2_10%,1,1
239.9,22.938,1.3161,leak_event_sev1_h2_10%,1,1
188.7,22.802,1.4198,leak_event_sev1_h2_10%,1,1
279.8,23.078,1.0511,leak_event_sev1_h2_10%,1,1
229.6,23.166,1.1274,leak_event_sev1_h2_10%,1,1
210.7,22.882,1.2964,leak_event_sev1_h2_10%,1,1
280.9,22.895,1.4749,leak_event_sev1_h2_10%,1,1
215.4,22.937,0.9772,leak_event_sev1_h2_10%,1,1
221.0,22.814,1.415,leak_event_sev1_h2_10%,1,1
182.8,23.162,1.043,leak_event_sev1_h2_10%,1,1
235.3,22.612,1.4212,leak_event_sev1_h2_10%,1,1
209.4,23.071,1.1832,leak_event_sev1_h2_10%,1,1
270.9,22.74,1.4953,leak_event_sev1_h2_10%,1,1
195.9,23.134,1.4134,leak_event_sev1_h2_10%,1,1
249.5,23.212,1.1171,leak_event_sev1_h2_10%,1,1
292.1,22.709,1.4829,leak_event_sev1_h2_10%,1,1
274.2,23.259,1.1815,leak_event_sev1_h2_10%,1,1
269.4,22.953,1.457,leak_event_sev1_h2_10%,1,1
222.2,22.885,1.5269,leak_event_sev1_h2_10%,1,1
274.2,23.267,1.2819,leak_event_sev1_h2_10%,1,1
222.7,23.011,1.043,leak_event_sev1_h2_10%,1,1
290.0,22.999,1.6024,leak_event_sev1_h2_10%,1,1
259.2,22.555,1.5782,leak_event_sev1_h2_10%,1,1
226.0,22.607,1.5779,leak_event_sev1_h2_10%,1,1
238.9,22.655,1.0982,leak_event_sev1_h2_10%,1,1
245.4,22.657,1.3708,leak_event_sev1_h2_10%,1,1
268.8,22.821,1.2119,leak_event_sev1_h2_10%,1,1
309.9,23.0,1.3565,leak_event_sev1_h2_10%,1,1
276.0,22.707,1.2352,leak_event_sev1_h2_10%,1,1
237.3,22.653,1.2403,leak_event_sev1_h2_10%,1,1
236.5,22.794,1.2313,leak_event_sev1_h2_10%,1,1
251.2,22.789,1.1169,leak_event_sev1_h2_10%,1,1
269.7,22.778,1.5554,leak_event_sev1_h2_10%,1,1
268.8,22.91,1.0523,leak_event_sev1_h2_10%,1,1
287.2,23.083,1.4647,leak_event_sev1_h2_10%,1,1
238.6,22.88,1.3337,leak_event_sev1_h2_10%,1,1
230.6,22.758,1.1014,leak_event_sev1_h2_10%,1,1
263.2,22.556,1.5587,leak_event_sev1_h2_10%,1,1
247.1,22.543,1.1734,leak_event_sev1_h2_10%,1,1
269.0,22.964,1.5734,leak_event_sev1_h2_10%,1,1
279.7,22.775,1.1595,leak_event_sev1_h2_10%,1,1
248.9,22.543,1.5008,leak_event_sev1_h2_10%,1,1
294.4,22.776,1.1423,leak_event_sev1_h2_10%,1,1
318.7,22.979,1.3758,leak_event_sev1_h2_10%,1,1
326.3,22.758,1.3562,leak_event_sev1_h2_10%,1,1
333.3,22.639,1.4569,leak_event_sev1_h2_10%,1,1
299.9,22.383,1.5152,leak_event_sev1_h2_10%,1,1
271.6,22.482,1.6563,leak_event_sev1_h2_10%,1,1
249.3,22.679,1.2388,leak_event_sev1_h2_10%,1,1
281.6,22.499,1.4776,leak_event_sev1_h2_10%,1,1
239.2,22.868,1.2457,leak_event_sev1_h2_10%,1,1
252.5,22.627,1.2559,leak_event_sev1_h2_10%,1,1
242.6,22.34,1.3765,leak_event_sev1_h2_10%,1,1
265.5,22.594,1.3605,leak_event_sev1_h2_10%,1,1
313.8,22.479,1.6565,leak_event_sev1_h2_10%,1,1
252.1,22.651,1.3462,leak_event_sev1_h2_10%,1,1
346.7,22.379,1.356,leak_event_sev1_h2_10%,1,1
299.2,22.455,1.2547,leak_event_sev1_h2_10%,1,1
242.5,22.993,1.3289,leak_event_sev1_h2_10%,1,1
271.0,22.598,1.4488,leak_event_sev1_h2_10%,1,1
250.4,22.533,1.3621,leak_event_sev1_h2_10%,1,1
327.0,23.003,1.2093,leak_event_sev1_h2_10%,1,1
277.5,22.613,1.2572,leak_event_sev1_h2_10%,1,1
285.8,22.446,1.5923,leak_event_sev1_h2_10%,1,1
264.1,23.034,1.1397,leak_event_sev1_h2_10%,1,1
277.4,22.268,1.5709,leak_event_sev1_h2_10%,1,1
337.1,22.351,1.7381,leak_event_sev1_h2_10%,1,1
256.7,23.12,1.2042,leak_event_sev1_h2_10%,1,1
281.1,22.575,1.6079,leak_event_sev1_h2_10%,1,1
318.1,22.946,1.6144,leak_event_sev1_h2_10%,1,1
355.8,22.481,1.2258,leak_event_sev1_h2_10%,1,1
334.3,22.636,1.7702,leak_event_sev1_h2_10%,1,1
260.9,22.514,1.6167,leak_event_sev1_h2_10%,1,1
346.4,22.783,1.7028,leak_event_sev1_h2_10%,1,1
372.3,22.757,1.6989,leak_event_sev1_h2_10%,1,1
292.3,22.602,1.4901,leak_event_sev1_h2_10%,1,1
331.7,22.41,1.236,leak_event_sev1_h2_10%,1,1
349.6,22.39,1.6444,leak_event_sev1_h2_10%,1,1
374.5,22.533,1.3282,leak_event_sev1_h2_10%,1,1
316.7,22.371,1.4779,leak_event_sev1_h2_10%,1,1
358.3,22.624,1.7044,leak_event_sev1_h2_10%,1,1
280.8,22.022,1.4804,leak_event_sev1_h2_10%,1,1
267.3,22.212,1.7298,leak_event_sev1_h2_10%,1,1
359.9,22.672,1.4262,leak_event_sev1_h2_10%,1,1
306.1,22.221,1.1847,leak_event_sev1_h2_10%,1,1
337.5,22.812,1.4892,leak_event_sev1_h2_10%,1,1
341.7,22.356,1.5269,leak_event_sev1_h2_10%,1,1
280.3,22.809,1.643,leak_event_sev1_h2_10%,1,1
322.8,22.299,1.5372,leak_event_sev1_h2_10%,1,1
310.9,22.322,1.6754,leak_event_sev1_h2_10%,1,1
282.4,22.658,1.3347,leak_event_sev1_h2_10%,1,1
363.7,22.177,1.2915,leak_event_sev1_h2_10%,1,1
371.6,22.215,1.8531,leak_event_sev1_h2_10%,1,1
278.7,22.766,1.3502,leak_event_sev1_h2_10%,1,1
278.9,22.679,1.5832,leak_event_sev1_h2_10%,1,1
356.3,21.815,1.6656,leak_event_sev1_h2_10%,1,1
331.3,22.135,1.8145,leak_event_sev1_h2_10%,1,1
329.9,22.414,1.3432,leak_event_sev1_h2_10%,1,1
327.1,21.9,1.7804,leak_event_sev1_h2_10%,1,1
355.1,22.658,1.2568,leak_event_sev1_h2_10%,1,1
318.7,22.304,1.9069,leak_event_sev1_h2_10%,1,1
366.7,22.03,1.7705,leak_event_sev1_h2_10%,1,1
327.9,22.44,1.5149,leak_event_sev1_h2_10%,1,1
328.2,21.931,1.6807,leak_event_sev1_h2_10%,1,1
401.7,21.815,1.3713,leak_event_sev1_h2_10%,1,1
324.4,21.917,1.3458,leak_event_sev1_h2_10%,1,1
333.9,22.493,1.6668,leak_event_sev1_h2_10%,1,1
379.6,22.28,1.7595,leak_event_sev1_h2_10%,1,1
408.9,22.191,1.7924,leak_event_sev1_h2_10%,1,1
417.3,22.178,1.5432,leak_event_sev1_h2_10%,1,1
405.0,21.844,1.8581,leak_event_sev1_h2_10%,1,1
337.5,22.243,1.7913,leak_event_sev1_h2_10%,1,1
308.9,22.448,1.7413,leak_event_sev1_h2_10%,1,1
366.2,21.594,1.6106,leak_event_sev1_h2_10%,1,1
344.0,22.637,1.4981,leak_event_sev1_h2_10%,1,1
425.6,22.469,1.8686,leak_event_sev1_h2_10%,1,1
434.4,21.944,1.758,leak_event_sev1_h2_10%,1,1
397.8,22.773,1.5889,leak_event_sev1_h2_10%,1,1
314.9,21.803,1.6865,leak_event_sev1_h2_10%,1,1
317.6,21.876,1.5309,leak_event_sev1_h2_10%,1,1
418.9,21.749,1.5099,leak_event_sev1_h2_10%,1,1
423.1,22.189,1.8716,leak_event_sev1_h2_10%,1,1
356.2,22.356,1.5507,leak_event_sev1_h2_10%,1,1
374.9,22.159,2.0117,leak_event_sev1_h2_10%,1,1
365.0,22.179,1.3911,leak_event_sev1_h2_10%,1,1
381.8,21.839,1.8591,leak_event_sev1_h2_10%,1,1
437.6,22.085,1.5943,leak_event_sev1_h2_10%,1,1
434.0,22.273,1.7578,leak_event_sev1_h2_10%,1,1
386.3,22.401,1.7008,leak_event_sev1_h2_10%,1,1
443.2,21.706,1.665,leak_event_sev1_h2_10%,1,1
375.5,21.941,1.8203,leak_event_sev1_h2_10%,1,1
427.4,22.304,2.0342,leak_event_sev1_h2_10%,1,1
356.0,21.757,1.9868,leak_event_sev1_h2_10%,1,1
439.5,21.717,1.4918,leak_event_sev1_h2_10%,1,1
430.0,22.167,1.7001,leak_event_sev1_h2_10%,1,1
344.9,22.368,1.7768,leak_event_sev1_h2_10%,1,1
333.4,21.992,1.7125,leak_event_sev1_h2_10%,1,1
388.5,21.956,1.644,leak_event_sev1_h2_10%,1,1
414.4,22.048,1.7594,leak_event_sev1_h2_10%,1,1
331.7,21.88,1.8984,leak_event_sev1_h2_10%,1,1
371.0,21.85,1.8173,leak_event_sev1_h2_10%,1,1
394.7,21.493,1.3591,leak_event_sev1_h2_10%,1,1
431.9,22.064,1.977,leak_event_sev1_h2_10%,1,1
384.0,22.092,1.8808,leak_event_sev1_h2_10%,1,1
354.4,21.677,1.6978,leak_event_sev1_h2_10%,1,1
436.1,22.077,1.8164,leak_event_sev1_h2_10%,1,1
453.3,21.609,1.6251,leak_event_sev1_h2_10%,1,1
422.4,21.906,2.015,leak_event_sev1_h2_10%,1,1
416.4,22.548,2.0689,leak_event_sev1_h2_10%,1,1
390.3,21.451,1.4368,leak_event_sev1_h2_10%,1,1
395.6,21.319,1.8856,leak_event_sev1_h2_10%,1,1
459.8,22.425,1.5751,leak_event_sev1_h2_10%,1,1
417.4,22.366,1.8002,leak_event_sev1_h2_10%,1,1
350.6,22.224,2.0308,leak_event_sev1_h2_10%,1,1
483.5,22.083,1.4647,leak_event_sev1_h2_10%,1,1
364.8,22.069,1.3891,leak_event_sev1_h2_10%,1,1
427.7,21.799,1.5088,leak_event_sev1_h2_10%,1,1
424.2,21.855,1.8568,leak_event_sev1_h2_10%,1,1
478.7,22.109,1.4973,leak_event_sev1_h2_10%,1,1
371.5,21.985,1.8367,leak_event_sev1_h2_10%,1,1
375.5,21.419,2.1559,leak_event_sev1_h2_10%,1,1
426.5,22.192,1.9393,leak_event_sev1_h2_10%,1,1
414.7,22.509,1.7767,leak_event_sev1_h2_10%,1,1
455.5,21.947,1.8605,leak_event_sev1_h2_10%,1,1
438.8,21.502,1.9291,leak_event_sev1_h2_10%,1,1
464.5,21.411,1.8974,leak_event_sev1_h2_10%,1,1
404.4,21.908,1.7546,leak_event_sev1_h2_10%,1,1
360.6,21.667,1.6498,leak_event_sev1_h2_10%,1,1
360.2,22.112,1.8326,leak_event_sev1_h2_10%,1,1
496.7,22.009,2.0751,leak_event_sev1_h2_10%,1,1
430.6,21.51,2.0496,leak_event_sev1_h2_10%,1,1
368.9,21.958,2.1871,leak_event_sev1_h2_10%,1,1
476.6,21.471,1.9769,leak_event_sev1_h2_10%,1,1
464.3,21.432,1.6941,leak_event_sev1_h2_10%,1,1
435.9,22.336,1.7662,leak_event_sev1_h2_10%,1,1
426.9,21.653,2.0936,leak_event_sev1_h2_10%,1,1
396.8,22.037,1.4447,leak_event_sev1_h2_10%,1,1
491.5,21.802,1.6039,leak_event_sev1_h2_10%,1,1
486.2,21.126,1.6857,leak_event_sev1_h2_10%,1,1
498.8,21.866,1.6884,leak_event_sev1_h2_10%,1,1
504.6,22.133,1.5537,leak_event_sev1_h2_10%,1,1
465.0,21.546,2.186,leak_event_sev1_h2_10%,1,1
381.8,21.474,1.7517,leak_event_sev1_h2_10%,1,1
415.0,21.756,2.2146,leak_event_sev1_h2_10%,1,1
430.4,21.739,2.2211,leak_event_sev1_h2_10%,1,1
485.0,21.97,1.9062,leak_event_sev1_h2_10%,1,1
434.9,21.579,1.6215,leak_event_sev1_h2_10%,1,1
439.4,21.243,1.9996,leak_event_sev1_h2_10%,1,1
364.0,21.727,2.1005,leak_event_sev1_h2_10%,1,1
466.8,21.84,1.4993,leak_event_sev1_h2_10%,1,1
401.5,21.999,2.1639,leak_event_sev1_h2_10%,1,1
529.0,21.851,1.4744,leak_event_sev1_h2_10%,1,1
393.6,21.858,1.6603,leak_event_sev1_h2_10%,1,1
372.1,21.328,1.4619,leak_event_sev1_h2_10%,1,1
430.4,21.991,1.6133,leak_event_sev1_h2_10%,1,1
466.0,21.307,2.1015,leak_event_sev1_h2_10%,1,1
465.3,21.246,1.5932,leak_event_sev1_h2_10%,1,1
376.1,21.147,2.1476,leak_event_sev1_h2_10%,1,1
467.2,21.565,2.2731,leak_event_sev1_h2_10%,1,1
443.6,21.553,2.0229,leak_event_sev1_h2_10%,1,1
377.1,21.309,1.5554,leak_event_sev1_h2_10%,1,1
427.0,22.007,2.0316,leak_event_sev1_h2_10%,1,1
565.9,21.647,1.9544,leak_event_sev1_h2_10%,1,1
397.5,21.352,2.0763,leak_event_sev1_h2_10%,1,1
507.4,21.226,2.0841,leak_event_sev1_h2_10%,1,1
432.7,21.604,1.7835,leak_event_sev1_h2_10%,1,1
403.1,21.596,1.8541,leak_event_sev1_h2_10%,1,1
414.7,21.714,2.2976,leak_event_sev1_h2_10%,1,1
398.1,20.959,1.5752,leak_event_sev1_h2_10%,1,1
488.0,21.468,2.041,leak_event_sev1_h2_10%,1,1
395.9,21.536,1.8242,leak_event_sev1_h2_10%,1,1
526.2,21.025,2.1257,leak_event_sev1_h2_10%,1,1
440.2,21.267,2.0185,leak_event_sev1_h2_10%,1,1
424.1,21.334,1.5973,leak_event_sev1_h2_10%,1,1
520.2,22.024,2.0431,leak_event_sev1_h2_10%,1,1
567.4,21.285,2.2121,leak_event_sev1_h2_10%,1,1
405.6,21.175,2.3208,leak_event_sev1_h2_10%,1,1
418.9,21.526,2.1375,leak_event_sev1_h2_10%,1,1
388.4,21.825,2.2745,leak_event_sev1_h2_10%,1,1
425.8,21.311,2.0978,leak_event_sev1_h2_10%,1,1
435.2,21.282,1.9018,leak_event_sev1_h2_10%,1,1
527.7,21.609,2.2226,leak_event_sev1_h2_10%,1,1
420.4,21.807,1.6792,leak_event_sev1_h2_10%,1,1
446.4,21.24,2.1203,leak_event_sev1_h2_10%,1,1
440.9,21.766,2.2064,leak_event_sev1_h2_10%,1,1
440.7,21.657,2.13,leak_event_sev1_h2_10%,1,1
398.9,21.268,1.9104,leak_event_sev1_h2_10%,1,1
448.5,22.044,1.7458,leak_event_sev1_h2_10%,1,1
466.9,21.601,1.5442,leak_event_sev1_h2_10%,1,1
473.0,21.685,2.1878,leak_event_sev1_h2_10%,1,1
541.3,20.912,1.5842,leak_event_sev1_h2_10%,1,1
411.4,21.876,2.3696,leak_event_sev1_h2_10%,1,1
514.4,21.278,2.1674,leak_event_sev1_h2_10%,1,1
412.3,21.838,1.8523,leak_event_sev1_h2_10%,1,1
565.8,21.168,2.4125,leak_event_sev1_h2_10%,1,1
457.5,21.117,2.1218,leak_event_sev1_h2_10%,1,1
0.0,24.992,0.0558,normal operation,0,0
6.7,24.742,0.0462,normal operation,0,0
0.0,24.738,0.0679,normal operation,0,0
0.0,25.193,0.0308,normal operation,0,0
23.8,24.927,0.0265,normal operation,0,0
8.5,24.878,0.0494,normal operation,0,0
7.5,24.831,0.033,normal operation,0,0
0.4,25.022,0.0418,normal operation,0,0
0.0,24.78,0.0409,normal operation,0,0
4.9,24.875,0.0495,normal operation,0,0
3.8,24.83,0.0229,normal operation,0,0
0.0,24.806,0.0303,normal operation,0,0
0.0,24.791,0.0214,normal operation,0,0
0.1,24.688,0.0389,normal operation,0,0
3.1,24.847,0.0206,normal operation,0,0
2.4,24.943,0.0733,normal operation,0,0
1.8,24.75,0.0183,normal operation,0,0
17.3,24.909,0.0261,normal operation,0,0
9.3,25.099,0.005,normal operation,0,0
5.8,24.704,0.056,normal operation,0,0
0.0,24.97,0.0237,normal operation,0,0
19.2,25.014,0.0563,normal operation,0,0
16.0,24.995,0.0148,normal operation,0,0
0.0,24.809,0.0266,normal operation,0,0
15.9,24.802,0.0311,normal operation,0,0
0.0,24.779,0.0467,normal operation,0,0
0.0,24.693,0.02,normal operation,0,0
0.0,24.951,0.0263,normal operation,0,0
5.0,24.793,0.0347,normal operation,0,0
0.0,24.618,0.0274,normal operation,0,0
8.4,24.817,0.005,normal operation,0,0
0.0,25.256,0.0599,normal operation,0,0
0.5,24.782,0.0353,normal operation,0,0
2.4,24.578,0.0522,normal operation,0,0
10.7,24.846,0.0636,normal operation,0,0
0.1,24.933,0.042,normal operation,0,0
3.4,24.847,0.034,normal operation,0,0
0.0,25.003,0.0513,normal operation,0,0
0.0,24.937,0.0289,normal operation,0,0
6.2,24.954,0.0179,normal operation,0,0
8.2,24.73,0.0432,normal operation,0,0
15.0,25.046,0.034,normal operation,0,0
0.0,24.938,0.0207,normal operation,0,0
0.0,24.951,0.0369,normal operation,0,0
11.7,24.78,0.0425,normal operation,0,0
4.9,25.018,0.0534,normal operation,0,0
4.1,24.861,0.0446,normal operation,0,0
9.9,24.763,0.0389,normal operation,0,0
7.3,24.636,0.0297,normal operation,0,0
