temperature,vibration,gas,status,label,severity
22.575,320.1,1.5715,leak_event_sev1_h2_15%,1,1
24.657,0.0271,14.0,normal operation,0,0
25.122,0.5,0.059,normal operation,0,0
24.684,17.1,0.0404,normal operation,0,0
24.853,7.5,0.0236,normal operation,0,0
22.062,411.9,1.9849,leak_event_sev2_h2_25%,1,1
18.181,956.0,4.8506,leak_event_sev3_h2_30%,1,1
24.731,7.5,0.0283,normal operation,0,0
24.944,0.0353,5.5,normal operation,0,0
24.628,10.6,0.0381,normal operation,0,0
19.361,3.1815,881.6,leak_event_sev2_H2_28%,1,2
21.667,442.2,3.1745,leak_event_sev2_h2_22%,1,1
22.995,2.1465,376.9,leak_event_sev2_H2_28%,1,2
21.279,461.4,3.0488,leak_event_sev2_h2_22%,1,1
24.966,0.0423,0.5,normal operation,0,0
23.615,143.3,0.9231,leak_event_sev1_h2_10%,1,1
22.885,250.6,1.2517,leak_event_sev1_h2_10%,1,1
17.507,1377.0,4.1109,leak_event_sev3_h2_30%,1,1
22.381,2.3665,426.9,leak_event_sev2_H2_28%,1,2
19.623,4.3401,985.6,leak_event_sev3_H2_30%,1,3
24.797,0.0,0.0312,normal operation,0,0
24.789,0.0,0.0313,normal operation,0,0
19.286,3.3909,883.0,leak_event_sev2_H2_28%,1,2
22.077,438.1,1.6885,leak_event_sev1_h2_10%,1,1
24.9,0.0773,15.6,normal operation,0,0
24.879,0.036,24.7,normal operation,0,0
24.781,0.0,0.0532,normal operation,0,0
22.175,1.997,471.3,leak_event_sev1_H2_10%,1,1
19.459,798.1,3.6687,leak_event_sev2_h2_20%,1,1
24.969,0.0,0.0376,normal operation,0,0
25.009,0.0,0.005,normal operation,0,0
22.591,328.3,2.0333,leak_event_sev2_h2_22%,1,1
19.246,3.8628,840.4,leak_event_sev2_H2_28%,1,2
20.844,537.2,3.1432,leak_event_sev3_h2_30%,1,1
24.924,0.005,6.8,normal operation,0,0
24.697,0.0052,8.1,normal operation,0,0
18.816,1045.8,3.1659,leak_event_sev2_h2_25%,1,1
24.902,0.052,5.2,normal operation,0,0
21.79,449.1,3.3278,leak_event_sev3_h2_30%,1,1
21.588,1.9875,425.1,leak_event_sev1_H2_10%,1,1
24.531,7.5,0.0491,normal operation,0,0
24.699,0.0122,8.7,normal operation,0,0
20.434,730.8,3.9304,leak_event_sev2_h2_22%,1,1
24.937,4.1,0.0623,normal operation,0,0
21.759,408.7,2.0184,leak_event_sev2_h2_22%,1,1
25.059,0.0434,2.5,normal operation,0,0
21.629,2.088,579.4,leak_event_sev1_H2_10%,1,1
24.666,0.0264,6.0,normal operation,0,0
22.701,2.1173,383.7,leak_event_sev2_H2_28%,1,2
24.847,0.023,14.8,normal operation,0,0
19.383,977.4,4.3667,leak_event_sev3_h2_30%,1,1
19.696,787.6,3.3779,leak_event_sev2_h2_22%,1,1
24.802,7.8,0.0309,normal operation,0,0
25.004,0.0435,23.9,normal operation,0,0
25.152,0.0424,17.2,normal operation,0,0
23.678,1.1605,234.0,leak_event_sev1_H2_10%,1,1
20.011,4.3722,1044.1,leak_event_sev3_H2_30%,1,3
20.869,691.1,2.837,leak_event_sev2_h2_20%,1,1
24.733,0.0454,22.5,normal operation,0,0
24.799,8.3,0.0464,normal operation,0,0
20.58,2.8016,597.7,leak_event_sev2_H2_28%,1,2
21.353,3.2636,636.4,leak_event_sev2_H2_25%,1,2
20.75,690.0,3.0874,leak_event_sev3_h2_30%,1,1
21.177,594.6,2.6294,leak_event_sev2_h2_25%,1,1
25.085,0.023,22.4,normal operation,0,0
24.647,0.0408,4.2,normal operation,0,0
17.544,1035.7,5.4509,leak_event_sev3_h2_30%,1,1
22.645,2.1605,432.8,leak_event_sev2_H2_22%,1,2
22.587,2.1026,426.0,leak_event_sev2_H2_25%,1,2
24.82,14.6,0.0448,normal operation,0,0
19.352,1040.8,4.8042,leak_event_sev3_h2_30%,1,1
24.936,0.0134,0.0,normal operation,0,0
24.664,9.3,0.0277,normal operation,0,0
23.027,1.7608,324.1,leak_event_sev1_H2_10%,1,1
20.129,904.4,2.9895,leak_event_sev2_h2_20%,1,1
16.985,1011.9,4.5086,leak_event_sev3_h2_30%,1,1
24.62,9.9,0.03,normal operation,0,0
19.928,4.2256,895.7,leak_event_sev3_H2_30%,1,3
25.011,0.0,0.0562,normal operation,0,0
22.808,2.4027,457.8,leak_event_sev2_H2_28%,1,2
21.332,3.5597,782.0,leak_event_sev3_H2_30%,1,3
24.687,0.0,0.0347,normal operation,0,0
24.774,1.3,0.0467,normal operation,0,0
24.821,18.9,0.0596,normal operation,0,0
24.857,18.4,0.0161,normal operation,0,0
25.049,0.022,0.0,normal operation,0,0
24.693,0.0,0.0579,normal operation,0,0
24.957,0.0769,0.0,normal operation,0,0
19.919,599.9,2.9527,leak_event_sev2_h2_22%,1,1
24.846,0.0,0.0356,normal operation,0,0
18.731,4.0479,851.6,leak_event_sev2_H2_22%,1,2
19.547,3.3474,731.5,leak_event_sev2_H2_28%,1,2
24.612,0.0778,18.9,normal operation,0,0
24.97,8.7,0.0356,normal operation,0,0
24.854,0.0149,0.0,normal operation,0,0
22.09,389.2,1.4152,leak_event_sev1_h2_15%,1,1
24.918,0.0751,0.0,normal operation,0,0
24.858,3.8,0.0301,normal operation,0,0
21.808,2.5326,530.1,leak_event_sev1_H2_10%,1,1
22.225,1.8759,455.9,leak_event_sev1_H2_15%,1,1
24.902,10.9,0.0487,normal operation,0,0
24.783,0.0384,0.6,normal operation,0,0
20.911,2.5582,673.2,leak_event_sev2_H2_25%,1,2
21.327,2.1844,468.6,leak_event_sev1_H2_10%,1,1
18.768,926.5,4.3163,leak_event_sev3_h2_30%,1,1
23.431,183.2,1.1909,leak_event_sev1_h2_15%,1,1
24.844,0.0,0.0485,normal operation,0,0
20.765,3.4593,786.0,leak_event_sev3_H2_30%,1,3
19.644,4.6428,798.7,leak_event_sev3_H2_30%,1,3
24.799,17.6,0.0306,normal operation,0,0
24.837,0.0365,0.0,normal operation,0,0
22.536,1.8335,379.2,leak_event_sev1_H2_10%,1,1
20.129,2.843,699.1,leak_event_sev2_H2_25%,1,2
22.564,1.8335,344.2,leak_event_sev1_H2_10%,1,1
24.786,0.8,0.0496,normal operation,0,0
21.039,3.2564,681.4,leak_event_sev2_H2_22%,1,2
24.957,22.0,0.0596,normal operation,0,0
24.999,4.0,0.0709,normal operation,0,0
24.873,6.8,0.0173,normal operation,0,0
24.646,0.036,0.0,normal operation,0,0
20.436,666.4,3.0865,leak_event_sev2_h2_20%,1,1
24.834,12.8,0.0357,normal operation,0,0
24.845,2.0,0.0654,normal operation,0,0
25.184,0.0419,0.0,normal operation,0,0
24.928,0.056,0.0,normal operation,0,0
21.821,2.5988,654.0,leak_event_sev2_H2_28%,1,2
19.306,874.8,4.3866,leak_event_sev3_h2_30%,1,1
21.213,673.0,3.6307,leak_event_sev3_h2_30%,1,1
24.7,0.0711,34.1,normal operation,0,0
24.745,0.0325,0.0,normal operation,0,0
21.998,2.6957,556.7,leak_event_sev2_H2_25%,1,2
22.077,436.1,1.8164,leak_event_sev1_h2_10%,1,1
22.322,310.9,1.6754,leak_event_sev1_h2_10%,1,1
23.208,268.2,1.1678,leak_event_sev1_h2_10%,1,1
24.654,0.0491,0.0,normal operation,0,0
24.962,12.1,0.0543,normal operation,0,0
24.786,0.0405,0.0,normal operation,0,0
24.882,0.0595,21.8,normal operation,0,0
21.22,703.5,3.1808,leak_event_sev2_h2_22%,1,1
20.057,3.6875,632.6,leak_event_sev2_H2_22%,1,2
24.83,0.0,0.0413,normal operation,0,0
21.356,2.4101,491.5,leak_event_sev1_H2_10%,1,1
23.062,2.0581,384.5,leak_event_sev2_H2_28%,1,2
22.037,416.8,2.531,leak_event_sev2_h2_20%,1,1
20.316,4.5572,1020.5,leak_event_sev3_H2_30%,1,3
25.025,5.6,0.0444,normal operation,0,0
20.307,785.7,2.3168,leak_event_sev2_h2_20%,1,1
24.703,0.0168,11.7,normal operation,0,0
24.773,8.2,0.0354,normal operation,0,0
25.004,0.0,0.0202,normal operation,0,0
24.892,14.7,0.0181,normal operation,0,0
20.812,3.4329,658.4,leak_event_sev2_H2_28%,1,2
25.091,1.0,0.0664,normal operation,0,0
24.76,0.0,0.0399,normal operation,0,0
20.036,850.6,2.7436,leak_event_sev2_h2_22%,1,1
20.924,631.3,3.3605,leak_event_sev3_h2_30%,1,1
24.759,5.0,0.0456,normal operation,0,0
23.322,1.3555,300.0,leak_event_sev1_H2_10%,1,1
24.681,0.072,12.9,normal operation,0,0
22.758,326.3,1.3562,leak_event_sev1_h2_10%,1,1
24.756,0.5,0.0375,normal operation,0,0
24.873,0.0121,9.9,normal operation,0,0
24.847,3.4,0.034,normal operation,0,0
24.935,0.0335,0.0,normal operation,0,0
24.881,0.0,0.0212,normal operation,0,0
24.746,0.0579,12.1,normal operation,0,0
22.135,331.3,1.8145,leak_event_sev1_h2_10%,1,1
24.998,22.5,0.0488,normal operation,0,0
22.88,1.9939,374.9,leak_event_sev2_H2_28%,1,2
24.916,0.005,16.9,normal operation,0,0
24.907,0.016,7.5,normal operation,0,0
23.187,1.1675,327.5,leak_event_sev1_H2_10%,1,1
20.759,2.745,723.5,leak_event_sev2_H2_28%,1,2
22.119,1.9308,448.1,leak_event_sev1_H2_15%,1,1
21.961,2.6552,486.6,leak_event_sev2_H2_25%,1,2
21.844,2.2372,601.3,leak_event_sev1_H2_10%,1,1
22.538,388.0,1.4323,leak_event_sev1_h2_10%,1,1
24.94,0.0076,0.0,normal operation,0,0
24.76,0.0424,0.0,normal operation,0,0
19.042,4.1211,815.5,leak_event_sev2_H2_28%,1,2
24.733,13.7,0.0396,normal operation,0,0
24.975,0.0556,5.3,normal operation,0,0
24.808,6.6,0.0262,normal operation,0,0
21.83,2.665,582.0,leak_event_sev2_H2_28%,1,2
16.782,5.5489,1198.6,leak_event_sev3_H2_30%,1,3
24.767,7.3,0.005,normal operation,0,0
21.776,2.0653,476.8,leak_event_sev1_H2_10%,1,1
21.333,578.3,3.2598,leak_event_sev3_h2_30%,1,1
22.007,427.0,2.0316,leak_event_sev1_h2_10%,1,1
19.62,3.8078,739.0,leak_event_sev2_H2_22%,1,2
23.14,2.375,429.2,leak_event_sev2_H2_25%,1,2
24.905,0.0,0.044,normal operation,0,0
23.041,1.5375,264.5,leak_event_sev1_H2_10%,1,1
18.074,1110.0,3.9088,leak_event_sev3_h2_30%,1,1
22.658,271.7,1.6087,leak_event_sev1_h2_10%,1,1
22.446,1.6868,409.7,leak_event_sev1_H2_15%,1,1
24.922,0.0294,5.4,normal operation,0,0
20.666,2.0437,516.8,leak_event_sev1_H2_10%,1,1
24.926,0.0,0.0188,normal operation,0,0
24.851,0.0,0.0215,normal operation,0,0
24.995,7.8,0.0296,normal operation,0,0
23.526,166.1,0.8981,leak_event_sev1_h2_15%,1,1
22.393,363.1,1.4112,leak_event_sev1_h2_15%,1,1
22.718,1.5364,299.8,leak_event_sev1_H2_15%,1,1
20.756,519.0,2.4043,leak_event_sev2_h2_22%,1,1
21.289,545.5,2.0837,leak_event_sev2_h2_22%,1,1
24.866,2.6,0.0331,normal operation,0,0
24.816,0.0492,8.5,normal operation,0,0
24.957,1.1,0.0262,normal operation,0,0
24.835,0.0525,7.2,normal operation,0,0
21.569,1.9493,563.1,leak_event_sev1_H2_15%,1,1
24.639,14.7,0.0298,normal operation,0,0
22.822,1.4025,322.4,leak_event_sev1_H2_10%,1,1
24.919,2.6,0.0271,normal operation,0,0
24.838,0.0294,0.0,normal operation,0,0
24.75,8.5,0.0225,normal operation,0,0
24.859,19.0,0.0337,normal operation,0,0
24.75,3.6,0.0132,normal operation,0,0
20.129,3.458,773.8,leak_event_sev3_H2_30%,1,3
24.662,0.0471,0.0,normal operation,0,0
18.782,1152.5,5.6265,leak_event_sev3_h2_30%,1,1
18.698,1242.8,4.6742,leak_event_sev3_h2_30%,1,1
20.916,3.1906,585.8,leak_event_sev2_H2_22%,1,2
20.88,2.689,665.0,leak_event_sev2_H2_28%,1,2
24.895,9.4,0.0478,normal operation,0,0
24.929,2.2,0.037,normal operation,0,0
21.644,378.0,1.8079,leak_event_sev1_h2_15%,1,1
24.912,0.0,0.0373,normal operation,0,0
24.664,0.0266,13.0,normal operation,0,0
24.559,0.0303,3.7,normal operation,0,0
24.71,0.0398,0.0,normal operation,0,0
19.584,781.0,3.6617,leak_event_sev2_h2_20%,1,1
24.625,0.0424,3.1,normal operation,0,0
22.71,1.7379,325.6,leak_event_sev1_H2_10%,1,1
21.355,491.7,1.3627,leak_event_sev1_h2_15%,1,1
16.0,5.7037,1382.1,leak_event_sev3_H2_30%,1,3
22.68,1.5363,317.8,leak_event_sev1_H2_10%,1,1
21.822,3.2234,624.4,leak_event_sev3_H2_30%,1,3
24.748,2.2,0.0169,normal operation,0,0
24.885,0.0224,7.9,normal operation,0,0
24.806,0.0451,0.0,normal operation,0,0
24.85,0.0231,7.7,normal operation,0,0
22.31,1.9619,468.4,leak_event_sev2_H2_25%,1,2
25.127,4.4,0.0299,normal operation,0,0
19.664,894.9,3.4683,leak_event_sev3_h2_30%,1,1
21.902,417.1,1.5863,leak_event_sev1_h2_10%,1,1
24.687,14.0,0.0368,normal operation,0,0
21.136,3.366,632.7,leak_event_sev2_H2_22%,1,2
21.212,3.5794,752.2,leak_event_sev3_H2_30%,1,3
24.835,0.0437,33.1,normal operation,0,0
20.506,524.1,3.1636,leak_event_sev3_h2_30%,1,1
22.372,2.4621,452.5,leak_event_sev2_H2_28%,1,2
21.853,1.9248,556.0,leak_event_sev1_H2_15%,1,1
22.738,1.8992,306.2,leak_event_sev1_H2_10%,1,1
17.485,4.9591,1329.4,leak_event_sev3_H2_30%,1,3
22.288,337.6,1.1464,leak_event_sev1_h2_15%,1,1
21.929,1.8113,388.3,leak_event_sev1_H2_10%,1,1
24.697,0.0292,0.0,normal operation,0,0
22.894,236.9,0.9238,leak_event_sev1_h2_15%,1,1
24.763,0.0585,10.2,normal operation,0,0
24.744,0.0,0.0291,normal operation,0,0
24.912,3.7,0.0282,normal operation,0,0
21.218,2.8841,653.9,leak_event_sev2_H2_22%,1,2
24.933,0.0279,0.0,normal operation,0,0
21.015,2.0949,541.6,leak_event_sev1_H2_15%,1,1
18.652,843.8,5.0851,leak_event_sev3_h2_30%,1,1
22.377,2.4917,512.1,leak_event_sev2_H2_22%,1,2
24.946,0.0286,6.6,normal operation,0,0
19.397,3.5138,689.3,leak_event_sev2_H2_28%,1,2
24.814,0.0577,0.0,normal operation,0,0
20.98,2.2464,485.0,leak_event_sev1_H2_15%,1,1
21.698,514.3,2.1765,leak_event_sev2_h2_20%,1,1
20.505,2.8289,620.7,leak_event_sev2_H2_25%,1,2
24.855,6.4,0.0446,normal operation,0,0
21.622,2.0104,537.6,leak_event_sev1_H2_15%,1,1
23.96,1.2704,255.8,leak_event_sev1_H2_10%,1,1
18.677,4.4119,753.9,leak_event_sev2_H2_22%,1,2
24.824,0.0876,36.5,normal operation,0,0
24.67,6.8,0.0339,normal operation,0,0
22.001,3.5107,574.8,leak_event_sev3_H2_30%,1,3
25.11,0.0409,10.1,normal operation,0,0
22.933,1.7467,362.6,leak_event_sev1_H2_15%,1,1
20.908,3.0803,530.6,leak_event_sev2_H2_25%,1,2
24.877,5.5,0.031,normal operation,0,0
21.59,2.4014,520.3,leak_event_sev1_H2_10%,1,1
21.53,2.0785,539.7,leak_event_sev1_H2_10%,1,1
24.679,7.5,0.0298,normal operation,0,0
24.959,13.0,0.0201,normal operation,0,0
24.962,0.0,0.029,normal operation,0,0
21.62,550.6,1.4967,leak_event_sev1_h2_15%,1,1
24.548,0.0,0.0517,normal operation,0,0
24.862,0.0248,19.5,normal operation,0,0
25.109,0.0,0.0339,normal operation,0,0
24.915,5.5,0.0281,normal operation,0,0
17.53,5.0892,1514.9,leak_event_sev3_H2_30%,1,3
16.923,4.4268,1202.8,leak_event_sev3_H2_30%,1,3
24.902,12.0,0.0436,normal operation,0,0
25.126,0.0577,0.0,normal operation,0,0
24.79,0.0712,0.0,normal operation,0,0
24.806,0.3,0.0418,normal operation,0,0
23.866,1.4102,236.2,leak_event_sev1_H2_10%,1,1
19.985,3.5562,820.8,leak_event_sev2_H2_28%,1,2
21.854,416.7,1.8573,leak_event_sev1_h2_15%,1,1
24.709,22.2,0.0619,normal operation,0,0
20.668,3.2883,838.2,leak_event_sev2_H2_28%,1,2
20.044,3.8475,844.2,leak_event_sev2_H2_25%,1,2
20.732,4.0,897.9,leak_event_sev3_H2_30%,1,3
21.914,2.2726,523.2,leak_event_sev1_H2_10%,1,1
24.792,10.3,0.0326,normal operation,0,0
21.432,464.3,1.6941,leak_event_sev1_h2_10%,1,1
21.911,439.0,2.9118,leak_event_sev2_h2_25%,1,1
24.59,0.005,0.0,normal operation,0,0
24.886,0.0,0.0248,normal operation,0,0
22.973,2.0351,390.5,leak_event_sev2_H2_22%,1,2
24.641,0.0,0.0316,normal operation,0,0
24.79,0.0645,28.9,normal operation,0,0
19.272,832.2,4.1144,leak_event_sev3_h2_30%,1,1
24.734,7.4,0.0451,normal operation,0,0
24.78,0.0444,0.0,normal operation,0,0
24.85,15.0,0.0529,normal operation,0,0
17.396,4.9213,1287.9,leak_event_sev3_H2_30%,1,3
21.314,2.2823,502.8,leak_event_sev1_H2_10%,1,1
16.854,5.4241,1322.5,leak_event_sev3_H2_30%,1,3
16.534,5.5971,1325.7,leak_event_sev3_H2_30%,1,3
24.888,0.0276,4.8,normal operation,0,0
24.516,0.0,0.0565,normal operation,0,0
24.495,9.6,0.0252,normal operation,0,0
22.978,220.2,1.3326,leak_event_sev1_h2_10%,1,1
17.033,5.6643,1215.0,leak_event_sev3_H2_30%,1,3
22.376,359.4,2.2508,leak_event_sev2_h2_22%,1,1
19.105,1192.2,4.044,leak_event_sev3_h2_30%,1,1
24.694,8.9,0.0184,normal operation,0,0
19.869,3.1925,672.0,leak_event_sev2_H2_28%,1,2
17.305,5.1508,1524.1,leak_event_sev3_H2_30%,1,3
24.817,0.0,0.0329,normal operation,0,0
19.485,701.8,4.1726,leak_event_sev2_h2_20%,1,1
22.324,465.8,1.5395,leak_event_sev1_h2_15%,1,1
16.996,5.1951,1219.1,leak_event_sev3_H2_30%,1,3
24.682,0.0298,0.0,normal operation,0,0
24.852,2.7,0.0167,normal operation,0,0
25.161,0.0,0.0423,normal operation,0,0
24.438,7.3,0.0447,normal operation,0,0
21.063,2.4985,630.1,leak_event_sev2_H2_25%,1,2
24.632,0.0114,0.0,normal operation,0,0
24.909,0.0,0.0399,normal operation,0,0
24.815,11.2,0.005,normal operation,0,0
24.878,13.1,0.04,normal operation,0,0
24.881,0.0578,0.0,normal operation,0,0
24.924,0.0737,22.2,normal operation,0,0
21.468,496.7,2.383,leak_event_sev3_h2_30%,1,1
24.609,8.6,0.0402,normal operation,0,0
21.541,2.3431,423.8,leak_event_sev1_H2_10%,1,1
21.017,3.5518,692.5,leak_event_sev3_H2_30%,1,3
22.042,2.9499,647.4,leak_event_sev3_H2_30%,1,3
24.512,6.4,0.0467,normal operation,0,0
22.066,376.6,1.3211,leak_event_sev1_h2_15%,1,1
24.779,0.0,0.045,normal operation,0,0
22.871,309.0,1.6066,leak_event_sev1_h2_10%,1,1
18.981,3.819,1037.1,leak_event_sev2_H2_25%,1,2
24.762,0.075,11.3,normal operation,0,0
24.497,0.0208,8.9,normal operation,0,0
24.581,4.7,0.0214,normal operation,0,0
19.053,791.5,3.8548,leak_event_sev3_h2_30%,1,1
24.734,14.6,0.0293,normal operation,0,0
21.38,3.0282,717.9,leak_event_sev3_H2_30%,1,3
25.086,17.8,0.0329,normal operation,0,0
21.803,314.9,1.6865,leak_event_sev1_h2_10%,1,1
21.005,4.1274,854.7,leak_event_sev3_H2_30%,1,3
24.764,2.8,0.0329,normal operation,0,0
20.632,736.6,2.7439,leak_event_sev2_h2_22%,1,1
20.365,3.218,831.0,leak_event_sev3_H2_30%,1,3
24.878,0.0558,0.0,normal operation,0,0
25.007,0.1024,0.0,normal operation,0,0
22.679,249.3,1.2388,leak_event_sev1_h2_10%,1,1
25.033,9.2,0.0613,normal operation,0,0
24.979,0.0518,7.8,normal operation,0,0
24.762,0.019,5.2,normal operation,0,0
24.686,0.0285,14.9,normal operation,0,0
23.027,352.5,1.6474,leak_event_sev1_h2_15%,1,1
24.662,0.0,0.0437,normal operation,0,0
24.795,0.0366,14.4,normal operation,0,0
24.797,0.0355,11.9,normal operation,0,0
24.877,0.0517,27.6,normal operation,0,0
22.97,1.4826,320.3,leak_event_sev1_H2_10%,1,1
24.772,7.2,0.0133,normal operation,0,0
24.854,0.073,18.1,normal operation,0,0
24.851,0.0649,0.0,normal operation,0,0
20.474,619.0,3.4412,leak_event_sev2_h2_22%,1,1
25.047,25.8,0.0379,normal operation,0,0
22.366,417.4,1.8002,leak_event_sev1_h2_10%,1,1
24.896,0.0,0.0331,normal operation,0,0
18.867,3.503,998.8,leak_event_sev2_H2_28%,1,2
24.738,9.7,0.0563,normal operation,0,0
18.7,3.9762,879.1,leak_event_sev3_H2_30%,1,3
22.483,313.8,1.715,leak_event_sev1_h2_10%,1,1
19.725,778.9,3.2249,leak_event_sev3_h2_30%,1,1
24.897,0.0123,25.8,normal operation,0,0
24.799,0.0398,2.5,normal operation,0,0
23.706,1.3228,246.4,leak_event_sev1_H2_15%,1,1
24.722,0.0244,0.0,normal operation,0,0
24.678,4.5,0.031,normal operation,0,0
21.434,614.2,3.1865,leak_event_sev2_h2_20%,1,1
22.408,2.1945,508.1,leak_event_sev2_H2_22%,1,2
19.893,3.9164,976.7,leak_event_sev2_H2_22%,1,2
23.38,1.0909,202.9,leak_event_sev1_H2_10%,1,1
21.102,745.5,2.6445,leak_event_sev2_h2_20%,1,1
24.757,0.0,0.0308,normal operation,0,0
22.036,399.9,1.7037,leak_event_sev2_h2_20%,1,1
24.895,0.0739,3.0,normal operation,0,0
22.639,299.0,2.1336,leak_event_sev2_h2_22%,1,1
24.888,0.0483,0.0,normal operation,0,0
22.278,385.0,1.7318,leak_event_sev1_h2_15%,1,1
24.877,7.2,0.0434,normal operation,0,0
21.846,551.6,2.932,leak_event_sev2_h2_22%,1,1
21.551,3.3184,749.9,leak_event_sev3_H2_30%,1,3
22.299,322.8,1.5372,leak_event_sev1_h2_10%,1,1
24.741,18.1,0.035,normal operation,0,0
22.378,2.4819,404.0,leak_event_sev2_H2_25%,1,2
25.021,0.0556,4.9,normal operation,0,0
16.5,1389.7,5.8617,leak_event_sev3_h2_30%,1,1
21.653,2.1224,424.8,leak_event_sev1_H2_10%,1,1
18.524,3.7735,950.0,leak_event_sev2_H2_28%,1,2
24.641,0.007,9.8,normal operation,0,0
24.542,0.0602,0.0,normal operation,0,0
21.579,475.5,2.6406,leak_event_sev2_h2_25%,1,1
24.823,4.9,0.0525,normal operation,0,0
24.782,0.5,0.0353,normal operation,0,0
20.493,689.4,3.0109,leak_event_sev3_h2_30%,1,1
22.304,427.4,2.0342,leak_event_sev1_h2_10%,1,1
24.817,0.005,10.8,normal operation,0,0
24.835,0.0659,6.0,normal operation,0,0
22.733,326.6,1.2643,leak_event_sev1_h2_15%,1,1
25.049,0.0762,7.9,normal operation,0,0
22.464,2.6596,477.5,leak_event_sev2_H2_25%,1,2
24.774,0.035,0.0,normal operation,0,0
25.117,11.2,0.052,normal operation,0,0
23.658,1.157,266.1,leak_event_sev1_H2_15%,1,1
23.218,256.4,1.3517,leak_event_sev1_h2_10%,1,1
24.723,2.2,0.0204,normal operation,0,0
20.189,878.7,3.3871,leak_event_sev3_h2_30%,1,1
24.832,11.6,0.0293,normal operation,0,0
24.855,1.4,0.0436,normal operation,0,0
19.274,3.9768,999.3,leak_event_sev2_H2_25%,1,2
24.832,0.0328,0.0,normal operation,0,0
21.599,559.3,2.5947,leak_event_sev2_h2_20%,1,1
22.602,292.3,1.4901,leak_event_sev1_h2_10%,1,1
19.697,821.6,4.3193,leak_event_sev2_h2_25%,1,1
20.934,598.4,2.3538,leak_event_sev2_h2_20%,1,1
24.919,0.0218,0.0,normal operation,0,0
25.123,0.0374,41.6,normal operation,0,0
24.819,0.005,0.0,normal operation,0,0
24.825,14.4,0.0475,normal operation,0,0
23.751,1.3007,253.5,leak_event_sev1_H2_10%,1,1
20.623,3.9234,817.3,leak_event_sev3_H2_30%,1,3
23.587,154.0,0.925,leak_event_sev1_h2_10%,1,1
20.53,834.7,4.2833,leak_event_sev3_h2_30%,1,1
18.997,4.1891,800.0,leak_event_sev2_H2_25%,1,2
22.085,1.7964,461.2,leak_event_sev1_H2_15%,1,1
16.42,5.7513,1630.2,leak_event_sev3_H2_30%,1,3
24.922,0.0406,0.0,normal operation,0,0
16.0,6.268,1561.8,leak_event_sev3_H2_30%,1,3
19.419,913.8,4.9405,leak_event_sev3_h2_30%,1,1
21.117,457.5,2.1218,leak_event_sev1_h2_10%,1,1
24.906,0.0694,2.6,normal operation,0,0
24.892,0.0223,16.6,normal operation,0,0
24.843,11.9,0.0193,normal operation,0,0
21.347,398.9,2.1503,leak_event_sev2_h2_25%,1,1
24.953,6.6,0.0335,normal operation,0,0
25.109,2.4,0.0157,normal operation,0,0
24.675,0.0309,5.0,normal operation,0,0
24.956,0.025,1.4,normal operation,0,0
18.476,4.3286,952.9,leak_event_sev3_H2_30%,1,3
24.872,3.5,0.0364,normal operation,0,0
24.937,0.0728,0.0,normal operation,0,0
